TOP.599ca620.00000000	START
TOP.59c2a2f3.00000000	user_options->rp_gen_func_min	1
TOP.59c2a2f3.00000000	user_options->rp_gen_seed	0
TOP.59c2a2f3.00000000	user_options->runtime	0
TOP.59c2a2f3.00000000	user_options->scrypt_tmto	0
TOP.59c2a2f3.00000000	user_options->segment_size	33554432
TOP.59c2a2f3.00000000	user_options->show	0
TOP.59c2a2f3.00000000	user_options->status	0
TOP.59c2a2f3.00000000	user_options->status_timer	10
TOP.59c2a2f3.00000000	user_options->stdout_flag	0
TOP.59c2a2f3.00000000	user_options->speed_only	0
TOP.59c2a2f3.00000000	user_options->progress_only	0
TOP.59c2a2f3.00000000	user_options->usage	0
TOP.59c2a2f3.00000000	user_options->username	0
TOP.59c2a2f3.00000000	user_options->veracrypt_pim	0
TOP.59c2a2f3.00000000	user_options->version	0
TOP.59c2a2f3.00000000	user_options->weak_hash_threshold	100
TOP.59c2a2f3.00000000	user_options->workload_profile	2
TOP.59c2a2f3.00000000	hashes->hashfile	\hashcat-3.6.0\Scripts\Input\hashes.txt
TOP.59c2a2f3.00000000	hashes->hashlist_mode	4
TOP.59c2a2f3.00000000	hashes->hashlist_format	0
TOP.59c2a2f3.00000000	hashes->hashes_cnt	0
TOP.59c2a2f3.00000000	hashes->digests_cnt	1
TOP.59c2a2f3.00000000	hashes->digests_done	0
TOP.59c2a2f3.00000000	hashes->salts_cnt	1
TOP.59c2a2f3.00000000	hashes->salts_done	0
TOP.59c2a2f3.00000000	SUB.59c2a2f8.00000004	START
TOP.59c2a2f3.00000000	SUB.59c2a2f8.00000004	straight_ctx->dict	\hashcat-3.6.0\Scripts\Wordlist-Attack\Wordlist\wordlist.txt
TOP.59c2a2f3.00000000	SUB.59c2a2f8.00000004	runtime_start	1505927929
TOP.59c2a2f3.00000000	SUB.59c2a2f8.00000004	runtime_stop	1505927931
TOP.59c2a2f3.00000000	SUB.59c2a2f8.00000004	status-after-work	5
TOP.59c2a2f3.00000000	SUB.59c2a2f8.00000004	STOP
TOP.59c2a2f3.00000000	proc_start	1505927923
TOP.59c2a2f3.00000000	proc_stop	1505927934
TOP.59c2a2f3.00000000	STOP
TOP.59c2a52d.00000000	START
TOP.59c2a52d.00000000	user_options->separator	:
TOP.59c2a52d.00000000	user_options->custom_charset_1	?l?d?u
TOP.59c2a52d.00000000	user_options->custom_charset_2	?l?d
TOP.59c2a52d.00000000	user_options->custom_charset_3	?l?d*!$@_
TOP.59c2a52d.00000000	user_options->encoding_from	utf-8
TOP.59c2a52d.00000000	user_options->encoding_to	utf-8
TOP.59c2a52d.00000000	user_options->outfile	\hashcat-3.6.0\Scripts\Output\output.txt
TOP.59c2a52d.00000000	user_options->rule_buf_l	:
TOP.59c2a52d.00000000	user_options->rule_buf_r	:
TOP.59c2a52d.00000000	user_options->session	hashcat
TOP.59c2a52d.00000000	user_options->limit	0
TOP.59c2a52d.00000000	user_options->skip	0
TOP.59c2a52d.00000000	user_options->attack_mode	3
TOP.59c2a52d.00000000	user_options->benchmark	0
TOP.59c2a52d.00000000	user_options->bitmap_max	24
TOP.59c2a52d.00000000	user_options->bitmap_min	16
TOP.59c2a52d.00000000	user_options->debug_mode	0
TOP.59c2a52d.00000000	user_options->force	0
TOP.59c2a52d.00000000	user_options->gpu_temp_abort	90
TOP.59c2a52d.00000000	user_options->gpu_temp_disable	0
TOP.59c2a52d.00000000	user_options->gpu_temp_retain	75
TOP.59c2a52d.00000000	user_options->hash_mode	0
TOP.59c2a52d.00000000	user_options->hex_charset	0
TOP.59c2a52d.00000000	user_options->hex_salt	0
TOP.59c2a52d.00000000	user_options->hex_wordlist	0
TOP.59c2a52d.00000000	user_options->increment	1
TOP.59c2a52d.00000000	user_options->increment_max	54
TOP.59c2a52d.00000000	user_options->increment_min	1
TOP.59c2a52d.00000000	user_options->keep_guessing	0
TOP.59c2a52d.00000000	user_options->kernel_accel	0
TOP.59c2a52d.00000000	user_options->kernel_loops	0
TOP.59c2a52d.00000000	user_options->keyspace	0
TOP.59c2a52d.00000000	user_options->left	0
TOP.59c2a52d.00000000	user_options->logfile_disable	0
TOP.59c2a52d.00000000	user_options->loopback	0
TOP.59c2a52d.00000000	user_options->machine_readable	0
TOP.59c2a52d.00000000	user_options->markov_classic	0
TOP.59c2a52d.00000000	user_options->markov_disable	0
TOP.59c2a52d.00000000	user_options->markov_threshold	256
TOP.59c2a52d.00000000	user_options->nvidia_spin_damp	100
TOP.59c2a52d.00000000	user_options->opencl_info	0
TOP.59c2a52d.00000000	user_options->opencl_vector_width	0
TOP.59c2a52d.00000000	user_options->outfile_autohex	1
TOP.59c2a52d.00000000	user_options->outfile_check_timer	5
TOP.59c2a52d.00000000	user_options->outfile_format	2
TOP.59c2a52d.00000000	user_options->potfile_disable	0
TOP.59c2a52d.00000000	user_options->powertune_enable	0
TOP.59c2a52d.00000000	user_options->quiet	0
TOP.59c2a52d.00000000	user_options->remove	0
TOP.59c2a52d.00000000	user_options->remove_timer	60
TOP.59c2a52d.00000000	user_options->restore	0
TOP.59c2a52d.00000000	user_options->restore_disable	0
TOP.59c2a52d.00000000	user_options->restore_timer	60
TOP.59c2a52d.00000000	user_options->rp_files_cnt	0
TOP.59c2a52d.00000000	user_options->rp_gen	0
TOP.59c2a52d.00000000	user_options->rp_gen_func_max	4
TOP.59c2a52d.00000000	user_options->rp_gen_func_min	1
TOP.59c2a52d.00000000	user_options->rp_gen_seed	0
TOP.59c2a52d.00000000	user_options->runtime	0
TOP.59c2a52d.00000000	user_options->scrypt_tmto	0
TOP.59c2a52d.00000000	user_options->segment_size	33554432
TOP.59c2a52d.00000000	user_options->show	0
TOP.59c2a52d.00000000	user_options->status	0
TOP.59c2a52d.00000000	user_options->status_timer	10
TOP.59c2a52d.00000000	user_options->stdout_flag	0
TOP.59c2a52d.00000000	user_options->speed_only	0
TOP.59c2a52d.00000000	user_options->progress_only	0
TOP.59c2a52d.00000000	user_options->usage	0
TOP.59c2a52d.00000000	user_options->username	0
TOP.59c2a52d.00000000	user_options->veracrypt_pim	0
TOP.59c2a52d.00000000	user_options->version	0
TOP.59c2a52d.00000000	user_options->weak_hash_threshold	0
TOP.59c2a52d.00000000	user_options->workload_profile	2
TOP.59c2a52d.00000000	hashes->hashfile	\hashcat-3.6.0\Scripts\Input\hashes.txt
TOP.59c2a52d.00000000	hashes->hashlist_mode	4
TOP.59c2a52d.00000000	hashes->hashlist_format	0
TOP.59c2a52d.00000000	hashes->hashes_cnt	0
TOP.59c2a52d.00000000	hashes->digests_cnt	1
TOP.59c2a52d.00000000	hashes->digests_done	0
TOP.59c2a52d.00000000	hashes->salts_cnt	1
TOP.59c2a52d.00000000	hashes->salts_done	0
TOP.59c2a52d.00000000	SUB.59c2a530.9852471d	START
TOP.59c2a52d.00000000	SUB.59c2a530.9852471d	mask_ctx->mask	?1
TOP.59c2a52d.00000000	SUB.59c2a530.9852471d	runtime_start	1505928496
TOP.59c2a52d.00000000	SUB.59c2a530.9852471d	runtime_stop	1505928496
TOP.59c2a52d.00000000	SUB.59c2a530.9852471d	status-after-work	4
TOP.59c2a52d.00000000	SUB.59c2a530.9852471d	STOP
TOP.59c2a52d.00000000	SUB.59c2a530.00026270	START
TOP.59c2a52d.00000000	SUB.59c2a530.00026270	mask_ctx->mask	?1?2
TOP.59c2a52d.00000000	SUB.59c2a530.00026270	runtime_start	1505928496
TOP.59c2a52d.00000000	SUB.59c2a530.00026270	runtime_stop	1505928496
TOP.59c2a52d.00000000	SUB.59c2a530.00026270	status-after-work	4
TOP.59c2a52d.00000000	SUB.59c2a530.00026270	STOP
TOP.59c2a52d.00000000	SUB.59c2a530.00026270	START
TOP.59c2a52d.00000000	SUB.59c2a530.00026270	mask_ctx->mask	?1?2?2
TOP.59c2a52d.00000000	SUB.59c2a530.00026270	runtime_start	1505928496
TOP.59c2a52d.00000000	SUB.59c2a530.00026270	runtime_stop	1505928496
TOP.59c2a52d.00000000	SUB.59c2a530.00026270	status-after-work	4
TOP.59c2a52d.00000000	SUB.59c2a530.00026270	STOP
TOP.59c2a52d.00000000	SUB.59c2a530.00026270	START
TOP.59c2a52d.00000000	SUB.59c2a530.00026270	mask_ctx->mask	?1?2?2?2
TOP.59c2a52d.00000000	SUB.59c2a530.00026270	runtime_start	1505928497
TOP.59c2a52d.00000000	SUB.59c2a530.00026270	runtime_stop	1505928497
TOP.59c2a52d.00000000	SUB.59c2a530.00026270	status-after-work	4
TOP.59c2a52d.00000000	SUB.59c2a530.00026270	STOP
TOP.59c2a52d.00000000	SUB.59c2a531.00026270	START
TOP.59c2a52d.00000000	SUB.59c2a531.00026270	mask_ctx->mask	?1?2?2?2?2
TOP.59c2a52d.00000000	SUB.59c2a531.00026270	runtime_start	1505928497
TOP.59c2a52d.00000000	SUB.59c2a531.00026270	runtime_stop	1505928498
TOP.59c2a52d.00000000	SUB.59c2a531.00026270	status-after-work	5
TOP.59c2a52d.00000000	SUB.59c2a531.00026270	STOP
TOP.59c2a52d.00000000	proc_start	1505928493
TOP.59c2a52d.00000000	proc_stop	1505928499
TOP.59c2a52d.00000000	STOP
TOP.59c2a6e1.00000000	START
TOP.59c2a6e1.00000000	user_options->separator	:
TOP.59c2a6e1.00000000	user_options->encoding_from	utf-8
TOP.59c2a6e1.00000000	user_options->encoding_to	utf-8
TOP.59c2a6e1.00000000	user_options->outfile	\hashcat-3.6.0\Scripts\Output\output.txt
TOP.59c2a6e1.00000000	user_options->rp_files[0]	\hashcat-3.6.0\Scripts\Wordlist+Rules-Attack\Rule\rules.rule
TOP.59c2a6e1.00000000	user_options->rule_buf_l	:
TOP.59c2a6e1.00000000	user_options->rule_buf_r	:
TOP.59c2a6e1.00000000	user_options->session	hashcat
TOP.59c2a6e1.00000000	user_options->limit	0
TOP.59c2a6e1.00000000	user_options->skip	0
TOP.59c2a6e1.00000000	user_options->attack_mode	0
TOP.59c2a6e1.00000000	user_options->benchmark	0
TOP.59c2a6e1.00000000	user_options->bitmap_max	24
TOP.59c2a6e1.00000000	user_options->bitmap_min	16
TOP.59c2a6e1.00000000	user_options->debug_mode	0
TOP.59c2a6e1.00000000	user_options->force	0
TOP.59c2a6e1.00000000	user_options->gpu_temp_abort	90
TOP.59c2a6e1.00000000	user_options->gpu_temp_disable	0
TOP.59c2a6e1.00000000	user_options->gpu_temp_retain	75
TOP.59c2a6e1.00000000	user_options->hash_mode	0
TOP.59c2a6e1.00000000	user_options->hex_charset	0
TOP.59c2a6e1.00000000	user_options->hex_salt	0
TOP.59c2a6e1.00000000	user_options->hex_wordlist	0
TOP.59c2a6e1.00000000	user_options->increment	0
TOP.59c2a6e1.00000000	user_options->increment_max	54
TOP.59c2a6e1.00000000	user_options->increment_min	1
TOP.59c2a6e1.00000000	user_options->keep_guessing	0
TOP.59c2a6e1.00000000	user_options->kernel_accel	0
TOP.59c2a6e1.00000000	user_options->kernel_loops	0
TOP.59c2a6e1.00000000	user_options->keyspace	0
TOP.59c2a6e1.00000000	user_options->left	0
TOP.59c2a6e1.00000000	user_options->logfile_disable	0
TOP.59c2a6e1.00000000	user_options->loopback	0
TOP.59c2a6e1.00000000	user_options->machine_readable	0
TOP.59c2a6e1.00000000	user_options->markov_classic	0
TOP.59c2a6e1.00000000	user_options->markov_disable	0
TOP.59c2a6e1.00000000	user_options->markov_threshold	256
TOP.59c2a6e1.00000000	user_options->nvidia_spin_damp	100
TOP.59c2a6e1.00000000	user_options->opencl_info	0
TOP.59c2a6e1.00000000	user_options->opencl_vector_width	0
TOP.59c2a6e1.00000000	user_options->outfile_autohex	1
TOP.59c2a6e1.00000000	user_options->outfile_check_timer	5
TOP.59c2a6e1.00000000	user_options->outfile_format	2
TOP.59c2a6e1.00000000	user_options->potfile_disable	0
TOP.59c2a6e1.00000000	user_options->powertune_enable	0
TOP.59c2a6e1.00000000	user_options->quiet	0
TOP.59c2a6e1.00000000	user_options->remove	0
TOP.59c2a6e1.00000000	user_options->remove_timer	60
TOP.59c2a6e1.00000000	user_options->restore	0
TOP.59c2a6e1.00000000	user_options->restore_disable	0
TOP.59c2a6e1.00000000	user_options->restore_timer	60
TOP.59c2a6e1.00000000	user_options->rp_files_cnt	1
TOP.59c2a6e1.00000000	user_options->rp_gen	0
TOP.59c2a6e1.00000000	user_options->rp_gen_func_max	4
TOP.59c2a6e1.00000000	user_options->rp_gen_func_min	1
TOP.59c2a6e1.00000000	user_options->rp_gen_seed	0
TOP.59c2a6e1.00000000	user_options->runtime	0
TOP.59c2a6e1.00000000	user_options->scrypt_tmto	0
TOP.59c2a6e1.00000000	user_options->segment_size	33554432
TOP.59c2a6e1.00000000	user_options->show	0
TOP.59c2a6e1.00000000	user_options->status	0
TOP.59c2a6e1.00000000	user_options->status_timer	10
TOP.59c2a6e1.00000000	user_options->stdout_flag	0
TOP.59c2a6e1.00000000	user_options->speed_only	0
TOP.59c2a6e1.00000000	user_options->progress_only	0
TOP.59c2a6e1.00000000	user_options->usage	0
TOP.59c2a6e1.00000000	user_options->username	0
TOP.59c2a6e1.00000000	user_options->veracrypt_pim	0
TOP.59c2a6e1.00000000	user_options->version	0
TOP.59c2a6e1.00000000	user_options->weak_hash_threshold	100
TOP.59c2a6e1.00000000	user_options->workload_profile	2
TOP.59c2a6e1.00000000	hashes->hashfile	\hashcat-3.6.0\Scripts\Input\hashes.txt
TOP.59c2a6e1.00000000	hashes->hashlist_mode	4
TOP.59c2a6e1.00000000	hashes->hashlist_format	0
TOP.59c2a6e1.00000000	hashes->hashes_cnt	0
TOP.59c2a6e1.00000000	hashes->digests_cnt	1
TOP.59c2a6e1.00000000	hashes->digests_done	0
TOP.59c2a6e1.00000000	hashes->salts_cnt	1
TOP.59c2a6e1.00000000	hashes->salts_done	0
TOP.59c2a6e1.00000000	SUB.59c2a6e4.00000004	START
TOP.59c2a6e1.00000000	SUB.59c2a6e4.00000004	straight_ctx->dict	\hashcat-3.6.0\Scripts\Wordlist+Rules-Attack\Wordlist\wordlist.txt
TOP.59c2a6e1.00000000	SUB.59c2a6e4.00000004	rulefile	\hashcat-3.6.0\Scripts\Wordlist+Rules-Attack\Rule\rules.rule
TOP.59c2a6e1.00000000	SUB.59c2a6e4.00000004	runtime_start	1505928939
TOP.59c2a6e1.00000000	SUB.59c2a6e4.00000004	runtime_stop	1505928940
TOP.59c2a6e1.00000000	SUB.59c2a6e4.00000004	status-after-work	5
TOP.59c2a6e1.00000000	SUB.59c2a6e4.00000004	STOP
TOP.59c2a6e1.00000000	proc_start	1505928929
TOP.59c2a6e1.00000000	proc_stop	1505928942
TOP.59c2a6e1.00000000	STOP
TOP.59c2a7b5.00000000	START
TOP.59c2a7b5.00000000	user_options->separator	:
TOP.59c2a7b5.00000000	user_options->encoding_from	utf-8
TOP.59c2a7b5.00000000	user_options->encoding_to	utf-8
TOP.59c2a7b5.00000000	user_options->outfile	\hashcat-3.6.0\Scripts\Output\output.txt
TOP.59c2a7b5.00000000	user_options->rp_files[0]	\hashcat-3.6.0\Scripts\Wordlist+Rules-Attack\Rule\rules.rule
TOP.59c2a7b5.00000000	user_options->rule_buf_l	:
TOP.59c2a7b5.00000000	user_options->rule_buf_r	:
TOP.59c2a7b5.00000000	user_options->session	hashcat
TOP.59c2a7b5.00000000	user_options->limit	0
TOP.59c2a7b5.00000000	user_options->skip	0
TOP.59c2a7b5.00000000	user_options->attack_mode	0
TOP.59c2a7b5.00000000	user_options->benchmark	0
TOP.59c2a7b5.00000000	user_options->bitmap_max	24
TOP.59c2a7b5.00000000	user_options->bitmap_min	16
TOP.59c2a7b5.00000000	user_options->debug_mode	0
TOP.59c2a7b5.00000000	user_options->force	0
TOP.59c2a7b5.00000000	user_options->gpu_temp_abort	90
TOP.59c2a7b5.00000000	user_options->gpu_temp_disable	0
TOP.59c2a7b5.00000000	user_options->gpu_temp_retain	75
TOP.59c2a7b5.00000000	user_options->hash_mode	0
TOP.59c2a7b5.00000000	user_options->hex_charset	0
TOP.59c2a7b5.00000000	user_options->hex_salt	0
TOP.59c2a7b5.00000000	user_options->hex_wordlist	0
TOP.59c2a7b5.00000000	user_options->increment	0
TOP.59c2a7b5.00000000	user_options->increment_max	54
TOP.59c2a7b5.00000000	user_options->increment_min	1
TOP.59c2a7b5.00000000	user_options->keep_guessing	0
TOP.59c2a7b5.00000000	user_options->kernel_accel	0
TOP.59c2a7b5.00000000	user_options->kernel_loops	0
TOP.59c2a7b5.00000000	user_options->keyspace	0
TOP.59c2a7b5.00000000	user_options->left	0
TOP.59c2a7b5.00000000	user_options->logfile_disable	0
TOP.59c2a7b5.00000000	user_options->loopback	0
TOP.59c2a7b5.00000000	user_options->machine_readable	0
TOP.59c2a7b5.00000000	user_options->markov_classic	0
TOP.59c2a7b5.00000000	user_options->markov_disable	0
TOP.59c2a7b5.00000000	user_options->markov_threshold	256
TOP.59c2a7b5.00000000	user_options->nvidia_spin_damp	100
TOP.59c2a7b5.00000000	user_options->opencl_info	0
TOP.59c2a7b5.00000000	user_options->opencl_vector_width	0
TOP.59c2a7b5.00000000	user_options->outfile_autohex	1
TOP.59c2a7b5.00000000	user_options->outfile_check_timer	5
TOP.59c2a7b5.00000000	user_options->outfile_format	2
TOP.59c2a7b5.00000000	user_options->potfile_disable	0
TOP.59c2a7b5.00000000	user_options->powertune_enable	0
TOP.59c2a7b5.00000000	user_options->quiet	0
TOP.59c2a7b5.00000000	user_options->remove	0
TOP.59c2a7b5.00000000	user_options->remove_timer	60
TOP.59c2a7b5.00000000	user_options->restore	0
TOP.59c2a7b5.00000000	user_options->restore_disable	0
TOP.59c2a7b5.00000000	user_options->restore_timer	60
TOP.59c2a7b5.00000000	user_options->rp_files_cnt	1
TOP.59c2a7b5.00000000	user_options->rp_gen	0
TOP.59c2a7b5.00000000	user_options->rp_gen_func_max	4
TOP.59c2a7b5.00000000	user_options->rp_gen_func_min	1
TOP.59c2a7b5.00000000	user_options->rp_gen_seed	0
TOP.59c2a7b5.00000000	user_options->runtime	0
TOP.59c2a7b5.00000000	user_options->scrypt_tmto	0
TOP.59c2a7b5.00000000	user_options->segment_size	33554432
TOP.59c2a7b5.00000000	user_options->show	0
TOP.59c2a7b5.00000000	user_options->status	0
TOP.59c2a7b5.00000000	user_options->status_timer	10
TOP.59c2a7b5.00000000	user_options->stdout_flag	0
TOP.59c2a7b5.00000000	user_options->speed_only	0
TOP.59c2a7b5.00000000	user_options->progress_only	0
TOP.59c2a7b5.00000000	user_options->usage	0
TOP.59c2a7b5.00000000	user_options->username	0
TOP.59c2a7b5.00000000	user_options->veracrypt_pim	0
TOP.59c2a7b5.00000000	user_options->version	0
TOP.59c2a7b5.00000000	user_options->weak_hash_threshold	100
TOP.59c2a7b5.00000000	user_options->workload_profile	2
TOP.59c2a7b5.00000000	hashes->hashfile	\hashcat-3.6.0\Scripts\Input\hashes.txt
TOP.59c2a7b5.00000000	hashes->hashlist_mode	4
TOP.59c2a7b5.00000000	hashes->hashlist_format	0
TOP.59c2a7b5.00000000	hashes->hashes_cnt	0
TOP.59c2a7b5.00000000	hashes->digests_cnt	1
TOP.59c2a7b5.00000000	hashes->digests_done	0
TOP.59c2a7b5.00000000	hashes->salts_cnt	1
TOP.59c2a7b5.00000000	hashes->salts_done	0
TOP.59c2a7b5.00000000	SUB.59c2a7b8.00000004	START
TOP.59c2a7b5.00000000	SUB.59c2a7b8.00000004	straight_ctx->dict	\hashcat-3.6.0\Scripts\Wordlist+Rules-Attack\Wordlist\wordlist.txt
TOP.59c2a7b5.00000000	SUB.59c2a7b8.00000004	rulefile	\hashcat-3.6.0\Scripts\Wordlist+Rules-Attack\Rule\rules.rule
TOP.59c2a7b5.00000000	SUB.59c2a7b8.00000004	runtime_start	1505929145
TOP.59c2a7b5.00000000	SUB.59c2a7b8.00000004	runtime_stop	1505929186
TOP.59c2a7b5.00000000	SUB.59c2a7b8.00000004	status-after-work	7
TOP.59c2a7b5.00000000	SUB.59c2a7b8.00000004	STOP
TOP.59c2a7b5.00000000	proc_start	1505929141
TOP.59c2a7b5.00000000	proc_stop	1505929187
TOP.59c2a7b5.00000000	STOP
TOP.59c2a84b.00000000	START
TOP.59c2a84b.00000000	user_options->separator	:
TOP.59c2a84b.00000000	user_options->encoding_from	utf-8
TOP.59c2a84b.00000000	user_options->encoding_to	utf-8
TOP.59c2a84b.00000000	user_options->outfile	\hashcat-3.6.0\Scripts\Output\output.txt
TOP.59c2a84b.00000000	user_options->rule_buf_l	:
TOP.59c2a84b.00000000	user_options->rule_buf_r	:
TOP.59c2a84b.00000000	user_options->session	hashcat
TOP.59c2a84b.00000000	user_options->limit	0
TOP.59c2a84b.00000000	user_options->skip	0
TOP.59c2a84b.00000000	user_options->attack_mode	0
TOP.59c2a84b.00000000	user_options->benchmark	0
TOP.59c2a84b.00000000	user_options->bitmap_max	24
TOP.59c2a84b.00000000	user_options->bitmap_min	16
TOP.59c2a84b.00000000	user_options->debug_mode	0
TOP.59c2a84b.00000000	user_options->force	0
TOP.59c2a84b.00000000	user_options->gpu_temp_abort	90
TOP.59c2a84b.00000000	user_options->gpu_temp_disable	0
TOP.59c2a84b.00000000	user_options->gpu_temp_retain	75
TOP.59c2a84b.00000000	user_options->hash_mode	1700
TOP.59c2a84b.00000000	user_options->hex_charset	0
TOP.59c2a84b.00000000	user_options->hex_salt	0
TOP.59c2a84b.00000000	user_options->hex_wordlist	0
TOP.59c2a84b.00000000	user_options->increment	0
TOP.59c2a84b.00000000	user_options->increment_max	54
TOP.59c2a84b.00000000	user_options->increment_min	1
TOP.59c2a84b.00000000	user_options->keep_guessing	0
TOP.59c2a84b.00000000	user_options->kernel_accel	0
TOP.59c2a84b.00000000	user_options->kernel_loops	0
TOP.59c2a84b.00000000	user_options->keyspace	0
